,Content Based,N,fold
0,0.0,1,1
1,0.0,1,2
2,0.0,1,3
3,0.0,1,4
4,0.0,1,5
5,0.3921250354394471,5,1
6,0.3921250354394471,5,2
7,0.3921250354394471,5,3
8,0.3921250354394471,5,4
9,0.3921250354394471,5,5
10,0.09534405486770431,10,1
11,0.09494174492631206,10,2
12,0.09494174492631206,10,3
13,0.09494174492631206,10,4
14,0.09494174492631206,10,5
15,0.061469259171248763,20,1
16,0.06721183582343361,20,2
17,0.06721183582343361,20,3
18,0.06721183582343361,20,4
19,0.06721183582343361,20,5
20,0.1518497846707036,50,1
21,0.1518349653515014,50,2
22,0.1518349653515014,50,3
23,0.1518349653515014,50,4
24,0.1518349653515014,50,5
25,0.23063181531844915,100,1
26,0.33968395785185823,100,2
27,0.33968395785185823,100,3
28,0.33968395785185823,100,4
29,0.33968395785185823,100,5
