,Collaborative Filtering,N,fold
0,0.0,1,1
1,0.0,1,2
2,0.0,1,3
3,0.0,1,4
4,0.0,1,5
5,0.0,5,1
6,0.0,5,2
7,0.0,5,3
8,0.0,5,4
9,0.0,5,5
10,0.0,10,1
11,0.0,10,2
12,0.0,10,3
13,0.0,10,4
14,0.0,10,5
15,0.0,20,1
16,0.0,20,2
17,0.0,20,3
18,0.0,20,4
19,0.0,20,5
20,0.013602796235980076,50,1
21,0.01297072982156308,50,2
22,0.01297072982156308,50,3
23,0.01297072982156308,50,4
24,0.01297072982156308,50,5
25,0.09642988818261113,100,1
26,0.09937308393717185,100,2
27,0.09937308393717185,100,3
28,0.09937308393717185,100,4
29,0.09937308393717185,100,5
