,Hybrid,N,fold
0,0.0,1,1
1,0.0,1,2
2,0.0,1,3
3,0.0,1,4
4,0.0,1,5
5,0.22219697161989949,5,1
6,0.29097471369190214,5,2
7,0.29097471369190214,5,3
8,0.29097471369190214,5,4
9,0.29097471369190214,5,5
10,0.04084271120848656,10,1
11,0.043535370486455546,10,2
12,0.043535370486455546,10,3
13,0.043535370486455546,10,4
14,0.043535370486455546,10,5
15,0.04093220531314927,20,1
16,0.04449106956395081,20,2
17,0.04449106956395081,20,3
18,0.04449106956395081,20,4
19,0.04449106956395081,20,5
20,0.1280145637736694,50,1
21,0.13207895831756797,50,2
22,0.13207895831756797,50,3
23,0.13207895831756797,50,4
24,0.13207895831756797,50,5
25,0.20377572291839857,100,1
26,0.3047049607563391,100,2
27,0.3047049607563391,100,3
28,0.3047049607563391,100,4
29,0.3047049607563391,100,5
